"surf" "Age" "deep" "Attitude" "stra" "gender" "Points"
"118" 2.09090909090909 20 3.58333333333333 29 3.875 "F" 19
"119" 1.72727272727273 31 4.08333333333333 39 3.875 "M" 30
"120" 2 20 4.25 36 2.375 "F" 22
"121" 2.72727272727273 22 3.41666666666667 29 3 "F" 16
"122" 3.36363636363636 22 3.08333333333333 21 3.375 "F" 16
"123" 3.36363636363636 21 3.5 31 2.75 "M" 19
"124" 2.63636363636364 22 3.66666666666667 40 4.5 "M" 30
"125" 2.72727272727273 21 4.25 31 2.625 "F" 23
"126" 3.27272727272727 21 4.25 23 2.75 "F" 19
"127" 2.81818181818182 21 3.83333333333333 28 3.25 "F" 18
"128" 2.45454545454545 21 4.41666666666667 37 4.125 "F" 28
"129" 2.45454545454545 20 3.5 26 3.375 "F" 21
"130" 3.54545454545455 21 3.58333333333333 24 2.75 "F" 19
"131" 2.09090909090909 25 3.66666666666667 30 4.125 "F" 27
"132" 4.27272727272727 21 2.08333333333333 28 3.25 "M" 24
"133" 2.54545454545455 24 4.25 29 2.875 "F" 21
"134" 2.90909090909091 20 3.58333333333333 24 2.875 "F" 20
"135" 2.54545454545455 21 4 31 2.375 "M" 28
"136" 2.18181818181818 20 3.33333333333333 19 3.875 "F" 12
"137" 2.63636363636364 20 3.5 20 2.125 "F" 21
"138" 2.18181818181818 18 3.16666666666667 38 4 "F" 28
"139" 2.72727272727273 21 3.58333333333333 34 3.25 "F" 31
"140" 3.27272727272727 19 3.41666666666667 37 2.625 "F" 18
"141" 3.72727272727273 21 4.25 29 2.75 "F" 25
"142" 2.72727272727273 20 3.25 23 4 "F" 19
"143" 2.09090909090909 21 4.41666666666667 41 3 "M" 21
"144" 2.81818181818182 20 3.25 27 3.375 "F" 16
"145" 3.36363636363636 21 3.91666666666667 35 3.875 "F" 7
"146" 2.54545454545455 20 3.58333333333333 34 3.25 "F" 21
"147" 3.18181818181818 18 4.5 32 3.375 "F" 17
"148" 3.09090909090909 22 3.58333333333333 33 4.125 "M" 22
"149" 2.81818181818182 22 3.66666666666667 33 3.5 "F" 18
"150" 3 24 2.58333333333333 35 2 "M" 25
"151" 2.54545454545455 19 4.16666666666667 32 3.625 "F" 24
"152" 3.81818181818182 20 3.25 31 3.375 "F" 23
"153" 2.27272727272727 20 4.33333333333333 28 2.125 "F" 23
"154" 3.54545454545455 17 3.91666666666667 17 4.625 "F" 26
"155" 3.63636363636364 19 2.66666666666667 19 2.5 "M" 12
"156" 2.90909090909091 20 3.08333333333333 35 2.875 "F" 32
"157" 2.54545454545455 20 3.75 24 2.75 "F" 22
"158" 3.27272727272727 20 4.16666666666667 21 4 "F" 20
"159" 2.90909090909091 20 4.16666666666667 29 2.375 "F" 21
"160" 3 19 3.25 19 3.875 "F" 23
"161" 2.90909090909091 19 4.08333333333333 20 3.375 "F" 20
"162" 3.09090909090909 22 2.91666666666667 42 1.75 "F" 28
"163" 2.63636363636364 35 3.83333333333333 41 3 "M" 31
"164" 3.36363636363636 18 3.16666666666667 37 2.625 "F" 18
"165" 3 19 3.41666666666667 36 2.625 "F" 30
"166" 2.63636363636364 21 4.08333333333333 18 3.375 "M" 19
