"gender" "Age" "Points" "Attitude" "surf" "deep" "stra"
"47" "M" 25 28 31 2.18181818181818 3.75 3.25
"48" "F" 23 31 39 3.81818181818182 3.41666666666667 4
"49" "F" 25 23 19 2.90909090909091 4.16666666666667 3.125
"50" "F" 23 25 21 3 2.91666666666667 2.5
"51" "M" 27 18 25 2.45454545454545 4.16666666666667 3.125
"52" "M" 25 19 32 3.09090909090909 3.58333333333333 3.25
"53" "M" 23 22 32 3.27272727272727 2.83333333333333 2.125
"54" "F" 23 25 26 3 4 2.75
"55" "F" 23 21 23 3.18181818181818 2.91666666666667 2.375
"56" "F" 45 9 38 3.36363636363636 3 3.125
"57" "F" 22 28 28 2.18181818181818 4.08333333333333 4
"58" "F" 23 25 33 3.09090909090909 2.91666666666667 4
"59" "M" 21 29 48 2.45454545454545 3.5 2.25
"60" "M" 21 33 40 1.72727272727273 4.33333333333333 3.25
"61" "F" 21 33 40 2.18181818181818 4.25 3.625
"62" "F" 21 25 47 2.09090909090909 3.41666666666667 3.625
"63" "F" 26 18 23 2.72727272727273 3.08333333333333 2.5
"64" "F" 25 22 31 2.81818181818182 4.58333333333333 1.875
"65" "F" 26 17 27 2.45454545454545 3.41666666666667 2
"66" "M" 21 25 41 2.27272727272727 3.41666666666667 1.875
"67" "F" 23 28 34 2.90909090909091 3.41666666666667 4
"68" "F" 22 22 25 2.27272727272727 3.58333333333333 2.875
"69" "F" 22 26 21 1.72727272727273 1.58333333333333 3.875
"70" "F" 22 11 14 2.90909090909091 3.33333333333333 2.5
"71" "F" 23 29 19 3 4.33333333333333 2.75
"72" "M" 22 22 37 2.09090909090909 4.41666666666667 4.5
"73" "M" 23 21 32 2.36363636363636 4.83333333333333 3.375
"74" "M" 24 28 28 2.45454545454545 3.08333333333333 2.625
"75" "F" 22 33 41 2.90909090909091 3 4.125
"76" "F" 23 16 25 3.18181818181818 4.08333333333333 2.625
"77" "M" 22 31 28 1.63636363636364 4.08333333333333 2.25
"78" "M" 20 22 38 2.45454545454545 3.75 2.75
"79" "M" 22 31 31 3.45454545454545 3.08333333333333 3
"80" "M" 21 23 35 3 4.75 1.625
"81" "F" 22 26 36 2.45454545454545 4.25 1.875
"82" "F" 23 12 26 2.45454545454545 4.16666666666667 3.375
"83" "M" 21 26 44 2.36363636363636 4.41666666666667 3.75
"84" "M" 22 31 45 2.72727272727273 3.83333333333333 2.125
"85" "M" 29 19 32 3.09090909090909 3.33333333333333 2.375
"86" "F" 29 30 39 2.09090909090909 3.16666666666667 2.75
"87" "F" 21 12 25 3.54545454545455 3.16666666666667 3.125
"88" "M" 28 17 33 2.81818181818182 3.83333333333333 3.5
"89" "F" 21 18 33 2.27272727272727 4.25 2.625
"90" "F" 30 19 30 2.63636363636364 3.83333333333333 3.375
"91" "F" 21 21 29 3.90909090909091 3.66666666666667 2.25
"92" "M" 23 24 33 2.36363636363636 3.83333333333333 3
"93" "F" 21 28 33 2.72727272727273 3.83333333333333 4
"94" "F" 21 17 35 2.81818181818182 3.83333333333333 3.5
"95" "F" 20 18 36 3 3.66666666666667 2.625
"96" "M" 22 17 37 2.18181818181818 4.33333333333333 2.5
"97" "M" 21 23 42 3.72727272727273 3.75 3.75
"98" "M" 21 26 32 2.90909090909091 4.16666666666667 3.625
"99" "F" 20 28 50 3.45454545454545 4 4.125
"100" "M" 22 31 47 1.54545454545455 4 4.375
"101" "F" 20 27 36 3 4.58333333333333 2.625
"102" "F" 20 25 36 2.90909090909091 3.66666666666667 4
"103" "M" 24 23 29 3 3.66666666666667 2.75
"104" "F" 20 21 35 2.72727272727273 3.83333333333333 2.75
"105" "F" 19 27 40 2.90909090909091 2.58333333333333 1.375
"106" "F" 21 28 35 2.81818181818182 3.5 2.25
"107" "F" 21 23 32 3.09090909090909 3.08333333333333 3.625
"108" "F" 22 21 26 2.45454545454545 4.25 3.75
"109" "F" 25 25 20 2.36363636363636 3.16666666666667 4
"110" "F" 21 11 27 2.90909090909091 3.08333333333333 3.125
"111" "F" 22 19 32 3 4.16666666666667 3.25
"112" "F" 25 24 33 4 2.25 2.125
"113" "F" 20 28 39 3.36363636363636 3.33333333333333 2.875
"114" "M" 24 21 33 3.54545454545455 3.08333333333333 1.5
"115" "F" 20 24 30 3.45454545454545 2.75 2.5
"116" "M" 21 24 37 3.81818181818182 3.25 3.25
"117" "F" 20 20 25 2.90909090909091 4 3.625
"118" "F" 20 19 29 2.09090909090909 3.58333333333333 3.875
"119" "M" 31 30 39 1.72727272727273 4.08333333333333 3.875
"120" "F" 20 22 36 2 4.25 2.375
"121" "F" 22 16 29 2.72727272727273 3.41666666666667 3
"122" "F" 22 16 21 3.36363636363636 3.08333333333333 3.375
"123" "M" 21 19 31 3.36363636363636 3.5 2.75
"124" "M" 22 30 40 2.63636363636364 3.66666666666667 4.5
"125" "F" 21 23 31 2.72727272727273 4.25 2.625
"126" "F" 21 19 23 3.27272727272727 4.25 2.75
"127" "F" 21 18 28 2.81818181818182 3.83333333333333 3.25
"128" "F" 21 28 37 2.45454545454545 4.41666666666667 4.125
"129" "F" 20 21 26 2.45454545454545 3.5 3.375
"130" "F" 21 19 24 3.54545454545455 3.58333333333333 2.75
"131" "F" 25 27 30 2.09090909090909 3.66666666666667 4.125
"132" "M" 21 24 28 4.27272727272727 2.08333333333333 3.25
"133" "F" 24 21 29 2.54545454545455 4.25 2.875
"134" "F" 20 20 24 2.90909090909091 3.58333333333333 2.875
"135" "M" 21 28 31 2.54545454545455 4 2.375
"136" "F" 20 12 19 2.18181818181818 3.33333333333333 3.875
"137" "F" 20 21 20 2.63636363636364 3.5 2.125
"138" "F" 18 28 38 2.18181818181818 3.16666666666667 4
"139" "F" 21 31 34 2.72727272727273 3.58333333333333 3.25
"140" "F" 19 18 37 3.27272727272727 3.41666666666667 2.625
"141" "F" 21 25 29 3.72727272727273 4.25 2.75
"142" "F" 20 19 23 2.72727272727273 3.25 4
"143" "M" 21 21 41 2.09090909090909 4.41666666666667 3
"144" "F" 20 16 27 2.81818181818182 3.25 3.375
"145" "F" 21 7 35 3.36363636363636 3.91666666666667 3.875
"146" "F" 20 21 34 2.54545454545455 3.58333333333333 3.25
"147" "F" 18 17 32 3.18181818181818 4.5 3.375
"148" "M" 22 22 33 3.09090909090909 3.58333333333333 4.125
"149" "F" 22 18 33 2.81818181818182 3.66666666666667 3.5
"150" "M" 24 25 35 3 2.58333333333333 2
"151" "F" 19 24 32 2.54545454545455 4.16666666666667 3.625
"152" "F" 20 23 31 3.81818181818182 3.25 3.375
"153" "F" 20 23 28 2.27272727272727 4.33333333333333 2.125
"154" "F" 17 26 17 3.54545454545455 3.91666666666667 4.625
"155" "M" 19 12 19 3.63636363636364 2.66666666666667 2.5
"156" "F" 20 32 35 2.90909090909091 3.08333333333333 2.875
"157" "F" 20 22 24 2.54545454545455 3.75 2.75
"158" "F" 20 20 21 3.27272727272727 4.16666666666667 4
"159" "F" 20 21 29 2.90909090909091 4.16666666666667 2.375
"160" "F" 19 23 19 3 3.25 3.875
"161" "F" 19 20 20 2.90909090909091 4.08333333333333 3.375
"162" "F" 22 28 42 3.09090909090909 2.91666666666667 1.75
"163" "M" 35 31 41 2.63636363636364 3.83333333333333 3
"164" "F" 18 18 37 3.36363636363636 3.16666666666667 2.625
"165" "F" 19 30 36 3 3.41666666666667 2.625
"166" "M" 21 19 18 2.63636363636364 4.08333333333333 3.375
